customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,Churn
3612-BTO,Female,1,Yes,Yes,26,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),109.24,2832.99,3,No
8099-GLH,Female,1,Yes,Yes,26,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,80.35,2078.54,0,No
9226-NQD,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),115.56,242.34,0,Yes
2585-HDB,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,47.3,3155.01,2,No
2021-FVJ,Male,1,Yes,No,8,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,87.05,711.09,3,Yes
4843-VRZ,Male,0,No,Yes,56,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,118.01,6601.13,2,No
6675-BJD,Male,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,85.76,601.22,4,Yes
8629-WYH,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.3,858.5,2,No
8892-PMR,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,125.51,1753.98,3,Yes
1878-UXZ,Male,1,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.71,867.1,3,Yes
5859-MIO,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.75,899.16,2,No
1064-YGI,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),48.84,60.79,1,No
6463-ALH,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,117.33,1292.46,3,Yes
6258-SQH,Female,1,Yes,Yes,1,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),87.28,76.17,3,Yes
6892-JGZ,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),117.0,3402.07,0,No
7184-GIH,Female,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,127.7,6251.6,1,No
4104-PWW,Male,0,No,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.11,259.65,0,No
9996-CLH,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,127.68,2423.59,0,No
9154-CAC,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,112.47,233.22,0,Yes
9110-NCA,Female,0,Yes,No,13,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,88.47,1159.32,5,Yes
2028-ZWN,Male,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,104.27,416.4,4,Yes
7938-IOO,Male,1,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,117.31,247.68,3,Yes
6977-JMS,Female,0,No,Yes,5,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,110.76,568.73,1,No
1863-GQT,Male,0,No,Yes,52,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),65.57,3397.33,2,No
6116-DEW,Male,0,Yes,No,72,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,78.23,5618.76,1,No
7374-MOK,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.75,2001.72,2,No
5636-DMG,Female,0,No,No,72,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),104.73,7543.29,1,No
4157-BJM,Female,0,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,105.41,3464.72,3,No
3693-LLT,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),109.38,543.01,1,Yes
6450-ZWY,Female,1,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.87,800.91,2,No
8392-AYY,Female,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,42.55,1399.75,4,No
6864-CGF,Female,0,No,No,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,151.49,2873.89,2,Yes
6575-IEA,Female,1,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),119.36,2516.07,4,Yes
1663-OVX,Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,137.35,3145.16,1,No
4304-TQQ,Female,0,No,No,16,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,97.49,1570.58,3,No
7585-TLG,Male,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,86.87,768.1,3,No
8554-QEQ,Female,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.58,1014.46,3,No
1698-QBB,Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,95.76,188.92,2,No
1854-EAA,Female,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,42.59,198.11,1,No
6249-ULZ,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),49.82,3227.86,4,No
6791-FWD,Male,0,Yes,No,17,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),89.99,1525.27,2,No
4510-KXQ,Male,0,Yes,No,44,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,82.47,3624.14,4,No
9958-FXE,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),117.65,3871.23,2,No
3931-BFV,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,52.73,534.88,2,No
2930-PPA,Female,1,Yes,No,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.83,895.33,2,No
5282-FPC,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),115.52,353.33,4,Yes
1659-DSZ,Female,0,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),49.61,2577.18,2,No
2986-STG,Male,0,No,Yes,29,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,72.46,2087.88,2,No
2843-IAH,Male,0,No,No,66,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),97.86,6471.33,1,No
6759-GRH,Male,0,No,Yes,57,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),99.9,5683.34,2,No
5736-KYY,Female,0,No,No,12,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.86,911.61,1,No
6534-JCG,Male,0,No,No,49,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,82.22,4022.57,4,No
7287-ZPY,Female,0,No,No,21,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),105.97,2226.34,3,Yes
3049-APL,Male,0,Yes,Yes,5,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,92.96,459.14,1,Yes
5548-EWI,Female,1,No,No,45,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),86.49,3896.18,2,No
8400-CSP,Female,0,No,No,60,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.15,4330.42,3,No
3255-CTX,Female,0,No,Yes,3,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.56,339.26,1,No
7197-XAX,Male,1,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,41.08,2740.16,1,No
2648-HDF,Male,0,No,No,23,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),93.89,2172.51,1,No
5199-TCP,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),112.4,108.8,3,Yes
3557-YCY,Female,0,Yes,Yes,20,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.1,1548.48,2,No
3961-NRB,Female,0,Yes,No,40,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,118.32,4719.1,1,No
3869-CPI,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,105.79,2125.65,2,No
9352-DAN,Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,98.51,3056.41,1,No
5911-TXH,Male,1,Yes,Yes,53,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.72,4741.16,3,No
2218-QAP,Male,0,Yes,No,51,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,62.78,3188.09,1,No
5555-SVW,Male,1,Yes,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.23,90.92,3,No
2045-NFF,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.28,654.12,1,No
4436-SVH,Female,0,Yes,Yes,3,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),65.54,210.92,1,No
4354-BUA,Female,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),38.71,892.11,2,No
8022-AEP,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,117.09,8425.52,5,No
8683-CQQ,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,95.65,581.6,0,No
8339-NUF,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),124.64,1622.02,5,Yes
2060-XQN,Female,0,Yes,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.64,1411.18,4,No
1606-CAT,Male,0,Yes,Yes,35,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,94.87,3308.49,1,No
1190-UWA,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,105.69,198.59,2,Yes
4327-CRY,Male,0,Yes,No,14,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),97.59,1354.41,1,Yes
6854-VZC,Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,50.53,3632.0,4,No
2895-NXR,Female,0,No,No,16,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),104.06,1678.1,1,No
8455-OVW,Female,0,No,Yes,25,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,129.87,3241.49,2,No
4009-JBZ,Female,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,128.43,3968.74,1,No
1784-HAI,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,97.29,2730.96,0,No
8343-GJW,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,96.67,1845.7,2,Yes
1537-CRY,Male,0,Yes,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.57,172.38,0,No
9716-ZGY,Female,0,No,No,31,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.5,2627.27,4,No
5780-TAH,Female,0,No,Yes,68,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),97.15,6594.66,2,No
7655-NPN,Female,0,Yes,Yes,72,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,75.91,5470.0,3,No
7002-WOB,Male,0,No,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,146.25,3368.14,3,Yes
6919-WVS,Male,0,No,Yes,17,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,93.82,1597.57,1,No
4769-VZZ,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),99.57,1084.81,3,No
8509-QTJ,Female,0,Yes,Yes,3,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,86.73,260.58,5,Yes
4854-VKE,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,127.11,6856.73,0,No
4124-LLE,Male,0,No,Yes,4,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,104.79,415.18,2,Yes
6222-DFM,Male,0,Yes,Yes,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.12,687.05,2,Yes
8027-OCW,Female,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),39.7,1342.06,2,No
8079-TPM,Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,98.72,3052.76,4,Yes
5465-JSQ,Female,0,Yes,No,29,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.99,3245.81,4,Yes
9311-SZW,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,104.61,3549.17,3,Yes
9932-ZUW,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,105.07,2105.25,2,Yes
2150-ILU,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.92,199.36,3,No
2664-ZZA,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,49.2,3550.69,1,No
8805-VPY,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,137.5,7709.95,3,No
8404-UAP,Female,0,No,No,15,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),67.67,1016.16,2,Yes
5070-EVW,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,115.95,2200.42,3,Yes
9130-LZP,Female,0,No,No,13,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,89.4,1165.38,3,Yes
4506-EVY,Female,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.9,1011.9,2,No
6188-OQN,Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,82.63,2722.89,1,No
7617-PUG,Female,0,Yes,Yes,7,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),83.93,585.49,2,No
8421-EWZ,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,116.17,1752.89,0,No
7665-VED,Female,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),138.89,3615.39,2,Yes
3849-TJZ,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),130.8,9421.8,0,No
3489-AXE,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,77.87,785.21,2,No
5611-PXP,Female,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,92.19,3241.49,2,No
6878-BQT,Female,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,51.18,563.49,1,No
2687-LRC,Male,0,Yes,No,3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),104.8,317.74,1,Yes
3427-AAS,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,42.66,1577.59,3,No
6732-LCA,Male,0,Yes,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.77,610.12,2,No
6536-HJK,Male,1,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,49.31,942.46,1,No
8723-MLN,Female,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,48.17,1402.68,1,No
9945-CWQ,Female,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,47.86,2539.03,3,No
9967-ZJZ,Male,0,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),117.39,4213.34,1,No
1417-SIG,Female,0,Yes,No,49,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),115.81,5660.12,1,No
4267-ZUR,Female,1,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,95.81,871.57,2,Yes
1412-XDY,Female,0,No,Yes,41,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),65.82,2686.9,4,No
8164-YDJ,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.84,486.59,3,Yes
6988-IXC,Male,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,141.72,133.54,0,Yes
2122-PDR,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,103.33,215.95,2,Yes
6104-GXW,Female,0,Yes,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.5,600.09,2,No
8357-ELQ,Male,0,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,94.8,756.09,2,No
4766-MWY,Male,0,No,No,10,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),96.4,976.8,3,No
3914-IQQ,Female,0,No,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),107.85,2709.53,3,No
9787-PYV,Female,0,No,No,34,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,98.42,3348.18,1,No
5492-SQD,Female,1,Yes,No,21,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.05,1981.48,1,No
1395-ISL,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,102.33,3158.7,2,Yes
5360-GNT,Male,0,No,No,71,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),88.12,6245.73,1,No
5946-ZOP,Female,1,No,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,47.59,2321.17,0,No
5980-ECL,Male,1,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,48.87,351.83,1,Yes
8192-TUD,Female,0,Yes,No,60,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.01,5649.81,2,No
4636-WPY,Female,0,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,37.35,334.1,4,No
2062-MUJ,Female,0,No,No,28,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),96.66,2708.16,3,No
6305-GNZ,Female,0,No,Yes,52,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,88.71,4609.26,2,No
8330-WKK,Female,1,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,129.81,3245.72,3,No
7801-OLI,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,38.1,1586.06,3,No
8241-ZLQ,Male,0,Yes,Yes,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.3,1474.02,2,No
2542-NMH,Female,1,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.32,6864.81,3,No
7313-IRZ,Male,0,No,No,14,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),116.74,1630.58,3,Yes
2540-EFS,Female,1,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.17,6213.37,2,No
2365-TQG,Male,1,No,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,84.36,678.26,3,Yes
5312-MDD,Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,105.16,1681.54,1,No
4141-SLV,Male,0,Yes,No,36,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,96.4,3466.27,2,No
5186-JZS,Male,0,No,Yes,72,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,63.27,4548.79,3,No
5268-MRZ,Female,1,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.85,84.7,1,Yes
7619-HIG,Male,1,No,No,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,107.78,7762.71,2,No
4072-CMY,Male,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),96.6,6945.35,4,No
2214-QYX,Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),37.68,2289.72,2,No
1928-FUF,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,47.34,145.44,0,No
